date,rank,song,artist,last-week,peak-rank,weeks-on-board
12/30/2000,1,Independent Women Part I,Destiny's Child,1,1,15
12/30/2000,2,He Loves U Not,Dream,5,2,14
12/30/2000,3,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",2,2,9
12/30/2000,4,Case Of The Ex (Whatcha Gonna Do),Mya,3,2,20
12/30/2000,5,With Arms Wide Open,Creed,4,1,34
12/30/2000,6,Ms. Jackson,OutKast,6,6,8
12/30/2000,7,The Way You Love Me,Faith Hill,8,7,35
12/30/2000,8,If You're Gone,matchbox twenty,11,8,11
12/30/2000,9,Kryptonite,3 Doors Down,9,3,39
12/30/2000,10,Dance With Me,Debelah Morgan,12,10,23
12/30/2000,11,I Just Wanna Love U (Give It 2 Me),JAY-Z,13,11,10
12/30/2000,12,This I Promise You,'N Sync,10,5,14
12/30/2000,13,Gotta Tell You,Samantha Mumba,7,4,17
12/30/2000,14,Most Girls,P!nk,14,4,21
12/30/2000,15,I Wish,R. Kelly,15,15,14
12/30/2000,16,Again,Lenny Kravitz,19,16,7
12/30/2000,17,Liquid Dreams,O-Town,21,17,2
12/30/2000,18,E.I.,Nelly,16,16,13
12/30/2000,19,Shape Of My Heart,Backstreet Boys,17,9,12
12/30/2000,20,Love Don't Cost A Thing,Jennifer Lopez,22,20,4
12/30/2000,21,Between Me And You,Ja Rule Featuring Christina Milian,18,11,16
12/30/2000,22,Pinch Me,Barenaked Ladies,20,15,17
12/30/2000,23,Crazy For This Girl,Evan And Jaron,23,23,9
12/30/2000,24,What's Your Fantasy,Ludacris Featuring Shawnna,24,21,14
12/30/2000,25,Beautiful Day,U2,28,25,13
12/30/2000,26,My First Love,Avant Featuring KeKe Wyatt,26,26,9
12/30/2000,27,Music,Madonna,25,1,21
12/30/2000,28,My Next Thirty Years,Tim McGraw,27,27,11
12/30/2000,29,Stronger,Britney Spears,53,29,5
12/30/2000,30,Don't Tell Me,Madonna,35,30,4
12/30/2000,31,Just Friends (Sunny),Musiq,32,31,12
12/30/2000,32,Danger (Been So Long),Mystikal Featuring Nivea,55,32,3
12/30/2000,33,Without You,Dixie Chicks,31,31,13
12/30/2000,34,Born To Fly,Sara Evans,39,34,11
12/30/2000,35,Hemorrhage (In My Hands),Fuel,40,35,10
12/30/2000,36,I Lost It,Kenny Chesney,34,34,11
12/30/2000,37,Bent,matchbox twenty,33,1,36
12/30/2000,38,Crazy,K-Ci & JoJo,42,38,4
12/30/2000,39,So In Love With Two,Mikaila,47,39,6
12/30/2000,40,Don't Think I'm Not,Kandi,30,24,22
12/30/2000,41,Bow Wow (That's My Name),Lil Bow Wow,43,41,6
12/30/2000,42,We Danced,Brad Paisley,36,29,12
12/30/2000,43,She Bangs,Ricky Martin,29,12,13
12/30/2000,44,My Everything,98 Degrees,50,44,4
12/30/2000,45,Best Of Intentions,Travis Tritt,37,27,20
12/30/2000,46,You're A God,Vertical Horizon,41,23,19
12/30/2000,47,Emotional,Carl Thomas,54,47,6
12/30/2000,48,No More (Baby I'ma Do Right),3LW,48,48,9
12/30/2000,49,www.memory,Alan Jackson,45,45,9
